item_id,document_heading,document_line,document_sha256,source_path,source_symbol,source_line_start,source_line_end,source_sha256,reviewed_status,dimension_formula,fixture_whole_class_dimension,boundary,scientific_completion
F6_calibrated_candidate,F6a. IMU body-frame context,1867,4da8b372c8f07936c1156935114849f85c0d83957c1ecacc6a0b6462bdf3b1f0,src/emgimu/feature_bank/body_frame.py,CalibratedBodyContextFamily,6,97,f2091339813e4b63a2965ceffb13b19200c0914abba3e257a43293be50100d8d,candidate_api_native_unavailable,15,15,Explicit neutral gravity and guided/measured forward axis establish fixed calibration-relative frame; real IMU rate/units and trial provenance required. Causal gravity EMA and linear acceleration RMS present. Calibration trials rejected in held-out evaluation. Public native calibrated frame evaluation unavailable; no absolute yaw.,not_proven
F0_noise_candidate,F0. Local / Traditional Signal Detail,1145,4da8b372c8f07936c1156935114849f85c0d83957c1ecacc6a0b6462bdf3b1f0,src/emgimu/feature_bank/document_signal.py,RestNoiseLocalDetailFamily,7,24,e21c30e27ddf5defed7d7aa23008ffb4a9d08fbcaee6b38744637606636f6825,candidate_formula,6C,48,Six metrics with thresholds frozen exclusively from native Rest adjacent-difference noise; active contraction magnitude cannot set thresholds. Historical extra R0 features still unavailable.,not_proven
F2b_document_candidate,F2b. CSP-like spatial feature,1314,4da8b372c8f07936c1156935114849f85c0d83957c1ecacc6a0b6462bdf3b1f0,src/emgimu/feature_bank/document_signal.py,DocumentCspFamily,27,69,e21c30e27ddf5defed7d7aa23008ffb4a9d08fbcaee6b38744637606636f6825,candidate_formula,"2 H min(2,floor(C/2))",16,"Uncentered XX transpose/(trace+epsilon), source-only one-vs-rest generalized eigenproblem, source-fixed gamma and top2/bottom2, log variance normalized plus epsilon. Native held-out wearing Core experiment available.",not_proven
F0,F0. Local / Traditional Signal Detail,1145,4da8b372c8f07936c1156935114849f85c0d83957c1ecacc6a0b6462bdf3b1f0,src/emgimu/feature_bank/families.py,LocalDetailFamily,64,102,32dcf4cd8f409d3dc68f3879fa0f801d7164b6aa268cbeff17eadb64ec73f4e4,partial,6C,48,Six requested metrics present; thresholds fit pooled source differences rather than explicit calibration noise; old R0 retention cannot be proven without old artifacts.,not_proven
F1,F1. Scale–Pattern / X1-H,1216,4da8b372c8f07936c1156935114849f85c0d83957c1ecacc6a0b6462bdf3b1f0,src/emgimu/feature_bank/families.py,ScalePatternFamily,105,125,32dcf4cd8f409d3dc68f3879fa0f801d7164b6aa268cbeff17eadb64ec73f4e4,reference_only,C,8,Matches conceptual RMS/global RMS pattern; mandatory validated X1-H reuse missing. Family identifier is historical-looking but does not establish equivalence.,not_proven
F2a,F2a. Trace-normalized covariance,1274,4da8b372c8f07936c1156935114849f85c0d83957c1ecacc6a0b6462bdf3b1f0,src/emgimu/feature_bank/families.py,TraceCovarianceFamily,128,152,32dcf4cd8f409d3dc68f3879fa0f801d7164b6aa268cbeff17eadb64ec73f4e4,candidate_formula,C(C+1)/2,36,"Centered sample covariance, fixed .05 shrinkage, epsilon diagonal, trace normalization and sqrt(2) off-diagonal vectorization; source-only fit.",not_proven
F2b,F2b. CSP-like spatial feature,1314,4da8b372c8f07936c1156935114849f85c0d83957c1ecacc6a0b6462bdf3b1f0,src/emgimu/feature_bank/families.py,CspSpatialFamily,155,201,32dcf4cd8f409d3dc68f3879fa0f801d7164b6aa268cbeff17eadb64ec73f4e4,partial,"2 H min(tails,floor(C/2))",8,Source-only one-vs-rest generalized eigensystem; uses centered/shrunk covariance instead of stated uncentered XX transpose. Default one tail component versus suggested two.,not_proven
F2c,F2c. SPD / Riemannian tangent feature,1365,4da8b372c8f07936c1156935114849f85c0d83957c1ecacc6a0b6462bdf3b1f0,src/emgimu/feature_bank/families.py,SpdTangentFamily,204,231,32dcf4cd8f409d3dc68f3879fa0f801d7164b6aa268cbeff17eadb64ec73f4e4,candidate_formula,C(C+1)/2,36,Explicit permitted log-Euclidean training reference; whitened matrix log and sqrt(2) vech; not geometric-mean claim.,not_proven
F3a,F3a. RLCS,1405,4da8b372c8f07936c1156935114849f85c0d83957c1ecacc6a0b6462bdf3b1f0,src/emgimu/feature_bank/families.py,RingGeometryFamily,234,292,32dcf4cd8f409d3dc68f3879fa0f801d7164b6aa268cbeff17eadb64ec73f4e4,reference_only,2 floor(C/2) block,40,"25ms smoothed rectification, lag mean/std correlations; validated old envelope/aggregation missing; circular topology assumed by legacy class.",not_proven
F3b,F3b. CES,1444,4da8b372c8f07936c1156935114849f85c0d83957c1ecacc6a0b6462bdf3b1f0,src/emgimu/feature_bank/families.py,RingGeometryFamily,234,292,32dcf4cd8f409d3dc68f3879fa0f801d7164b6aa268cbeff17eadb64ec73f4e4,reference_only,C block,40,Normalized sorted correlation eigenvalues are candidate CES block; validated old reuse missing; bundled with lag/ringcov blocks.,not_proven
