protocol,run_id,shots_per_class,supported,classes,calibration_trials,estimated_signal_seconds,estimate_basis,each_target_session,all_task_gestures_required,target_force_required,target_posture_required,macro_f1,model,minimum_user_signal_seconds,maximum_user_signal_seconds,calibration_split_sha256
EPN personal fine-tune,feature_bank_epn612_trial_finetune_final_20260915,0,True,6,0,0.0,5 seconds/trial approximate; preparation and transitions excluded,False,True,False,not controlled,0.43860753737612007,historical protocol,N/A,N/A,N/A
EPN personal fine-tune,feature_bank_epn612_trial_finetune_final_20260915,1,True,6,6,30.0,5 seconds/trial approximate; preparation and transitions excluded,False,True,False,not controlled,0.4298168188214233,historical protocol,N/A,N/A,N/A
EPN personal fine-tune,feature_bank_epn612_trial_finetune_final_20260915,2,True,6,12,60.0,5 seconds/trial approximate; preparation and transitions excluded,False,True,False,not controlled,0.44191765347710277,historical protocol,N/A,N/A,N/A
EPN personal fine-tune,feature_bank_epn612_trial_finetune_final_20260915,5,True,6,30,150.0,5 seconds/trial approximate; preparation and transitions excluded,False,True,False,not controlled,0.4653332792951259,historical protocol,N/A,N/A,N/A
MANUS session fine-tune,feature_bank_manus_calibration_final_20260915,0,True,6,0,0.0,10 seconds/trial approximate; preparation and transitions excluded,True,True,False,not controlled,0.416067266067266,historical protocol,N/A,N/A,N/A
MANUS session fine-tune,feature_bank_manus_calibration_final_20260915,1,True,6,6,60.0,10 seconds/trial approximate; preparation and transitions excluded,True,True,False,not controlled,0.6861111111111112,historical protocol,N/A,N/A,N/A
MANUS session fine-tune,feature_bank_manus_calibration_final_20260915,2,True,6,12,120.0,10 seconds/trial approximate; preparation and transitions excluded,True,True,False,not controlled,0.6064814814814815,historical protocol,N/A,N/A,N/A
MANUS session fine-tune,feature_bank_manus_calibration_final_20260915,5,False,6,N/A,N/A,10 seconds/trial approximate; preparation and transitions excluded,True,True,False,not controlled,,historical protocol,N/A,N/A,N/A
Force ProductMode,feature_bank_force_product_final_20260915,0,True,7,0,0.0,3 seconds/trial approximate; preparation and transitions excluded,False,True,True,not controlled,0.5860155843959264,historical protocol,N/A,N/A,N/A
Force ProductMode,feature_bank_force_product_final_20260915,1,True,7,7,21.0,3 seconds/trial approximate; preparation and transitions excluded,False,True,True,not controlled,0.5855893085280256,historical protocol,N/A,N/A,N/A
Force ProductMode,feature_bank_force_product_final_20260915,2,True,7,14,42.0,3 seconds/trial approximate; preparation and transitions excluded,False,True,True,not controlled,0.6063028811681566,historical protocol,N/A,N/A,N/A
Force ProductMode,feature_bank_force_product_final_20260915,5,False,7,N/A,N/A,3 seconds/trial approximate; preparation and transitions excluded,False,True,True,not controlled,,historical protocol,N/A,N/A,N/A
Force source-only anchors,feature_bank_force_zero_final_20260915,0,True,7,0,0.0,3 seconds/trial approximate; preparation and transitions excluded,False,True,False,not controlled,0.5581603941238125,historical protocol,N/A,N/A,N/A
Force source-only anchors,feature_bank_force_zero_final_20260915,1,True,7,7,21.0,3 seconds/trial approximate; preparation and transitions excluded,False,True,False,not controlled,0.5630111060057615,historical protocol,N/A,N/A,N/A
Force source-only anchors,feature_bank_force_zero_final_20260915,2,True,7,14,42.0,3 seconds/trial approximate; preparation and transitions excluded,False,True,False,not controlled,0.5674605362357903,historical protocol,N/A,N/A,N/A
Force source-only anchors,feature_bank_force_zero_final_20260915,5,False,7,N/A,N/A,3 seconds/trial approximate; preparation and transitions excluded,False,True,False,not controlled,,historical protocol,N/A,N/A,N/A
Force concat Core anchor,feature_bank_force_concat_core_calibration_final_20260915,0,True,7,0,0.0,native sample counts / nominal rate; mean user signal duration; preparation/transitions excluded,False,True,False,not controlled,0.490247449327063,Core,0.0,0.0,92d4518f746caa57a5a585936c4239e8b7bde2a0dffc0d654e668c9cae08f67a
