dataset,phase,subject,condition,model,feature_family,calibration_budget,feature_dimension,macro_f1,accuracy,log_loss,brier,ece,per_class_f1_json,removed_family,delta_macro_f1_vs_full,delta_logloss_vs_full
epn612,final,ALL,cross_user,full,F0+F3_Ring+F2b_CSP+F6_IMU,0,113,0.4458238691567782,0.45111111111111113,1.5391117906649863,0.11596787843973247,0.1620389387539004,"{""noGesture"":0.5108695652173914,""fist"":0.3853211009174312,""waveIn"":0.46060606060606063,""waveOut"":0.35443037974683544,""open"":0.5394736842105263,""pinch"":0.42424242424242425}",NONE,0.0,0.0
epn612,final,ALL,cross_user,leave_out_F0,F3_Ring+F2b_CSP+F6_IMU,0,65,0.37833082718543026,0.3933333333333333,1.6342253361990924,0.12746493769190492,0.12226852906066517,"{""noGesture"":0.5326633165829145,""fist"":0.26785714285714285,""waveIn"":0.47368421052631576,""waveOut"":0.3188405797101449,""open"":0.37037037037037035,""pinch"":0.30656934306569344}",F0,-0.06749304197134792,-0.09511354553410611
epn612,final,ALL,cross_user,leave_out_F3_Ring,F0+F2b_CSP+F6_IMU,0,73,0.47211665628223454,0.48,1.4151944826204943,0.10959085999834506,0.099403820684298,"{""noGesture"":0.5277777777777778,""fist"":0.3925233644859813,""waveIn"":0.5103448275862069,""waveOut"":0.3815789473684211,""open"":0.581081081081081,""pinch"":0.4393939393939394}",F3_Ring,0.02629278712545635,0.12391730804449197
epn612,final,ALL,cross_user,leave_out_F2b_CSP,F0+F3_Ring+F6_IMU,0,101,0.47362061900593067,0.4777777777777778,1.4795801955787813,0.11232886021565558,0.11804855173771839,"{""noGesture"":0.4973544973544973,""fist"":0.42718446601941745,""waveIn"":0.44025157232704404,""waveOut"":0.4489795918367347,""open"":0.569620253164557,""pinch"":0.4583333333333333}",F2b_CSP,0.02779674984915248,0.05953159508620498
epn612,final,ALL,cross_user,leave_out_F6_IMU,F0+F3_Ring+F2b_CSP,0,100,0.4236527406570258,0.4288888888888889,1.6126262784678613,0.12092946636193726,0.1617298748786757,"{""noGesture"":0.4205128205128205,""fist"":0.34285714285714286,""waveIn"":0.5033112582781457,""waveOut"":0.44871794871794873,""open"":0.48366013071895425,""pinch"":0.34285714285714286}",F6_IMU,-0.02217112849975239,-0.07351448780287506
epn612,final,19,cross_user,full,F0+F3_Ring+F2b_CSP+F6_IMU,0,113,0.39648982704383046,0.41333333333333333,1.6114683435381205,0.12246897896088038,0.18170938902088288,"{""noGesture"":0.5365853658536586,""fist"":0.35294117647058826,""waveIn"":0.4074074074074074,""waveOut"":0.28,""open"":0.42105263157894735,""pinch"":0.38095238095238093}",NONE,0.0,0.0
epn612,final,19,cross_user,leave_out_F0,F3_Ring+F2b_CSP+F6_IMU,0,65,0.31800577584408357,0.35333333333333333,1.8575563818529077,0.14125299215866477,0.1796090663132273,"{""noGesture"":0.5476190476190477,""fist"":0.29411764705882354,""waveIn"":0.3793103448275862,""waveOut"":0.20408163265306123,""open"":0.20512820512820512,""pinch"":0.2777777777777778}",F0,-0.07848405119974688,-0.2460880383147872
epn612,final,19,cross_user,leave_out_F3_Ring,F0+F2b_CSP+F6_IMU,0,73,0.4226037588971519,0.44,1.5088148318125902,0.11585062180893248,0.1474103446460762,"{""noGesture"":0.5106382978723404,""fist"":0.3333333333333333,""waveIn"":0.48,""waveOut"":0.34615384615384615,""open"":0.4444444444444444,""pinch"":0.42105263157894735}",F3_Ring,0.026113931853321448,0.10265351172553028
epn612,final,19,cross_user,leave_out_F2b_CSP,F0+F3_Ring+F6_IMU,0,101,0.42168995936014375,0.43333333333333335,1.5607958252597531,0.12153301848376116,0.15605451845035376,"{""noGesture"":0.5,""fist"":0.35294117647058826,""waveIn"":0.4074074074074074,""waveOut"":0.35,""open"":0.5116279069767442,""pinch"":0.40816326530612246}",F2b_CSP,0.025200132316313295,0.050672518278367384
epn612,final,19,cross_user,leave_out_F6_IMU,F0+F3_Ring+F2b_CSP,0,100,0.4434456150950996,0.46,1.6444285803512078,0.12334400381419056,0.1573707157776241,"{""noGesture"":0.4742268041237113,""fist"":0.3333333333333333,""waveIn"":0.509090909090909,""waveOut"":0.41025641025641024,""open"":0.5909090909090909,""pinch"":0.34285714285714286}",F6_IMU,0.046955788051269154,-0.03296023681308724
epn612,final,20,cross_user,full,F0+F3_Ring+F2b_CSP+F6_IMU,0,113,0.46382906758295245,0.4533333333333333,1.4648311495303372,0.1108328372923637,0.17338258101586596,"{""noGesture"":0.4878048780487805,""fist"":0.5833333333333334,""waveIn"":0.5365853658536586,""waveOut"":0.3287671232876712,""open"":0.5283018867924528,""pinch"":0.3181818181818182}",NONE,0.0,0.0
epn612,final,20,cross_user,leave_out_F0,F3_Ring+F2b_CSP+F6_IMU,0,65,0.43775867335862234,0.43333333333333335,1.4649016297666935,0.11575970127768312,0.09064778258639124,"{""noGesture"":0.5217391304347826,""fist"":0.4186046511627907,""waveIn"":0.5652173913043478,""waveOut"":0.41379310344827586,""open"":0.5185185185185185,""pinch"":0.18867924528301888}",F0,-0.026070394224330107,-7.048023635625178e-05
epn612,final,20,cross_user,leave_out_F3_Ring,F0+F2b_CSP+F6_IMU,0,73,0.4914617438755369,0.4866666666666667,1.325809063625271,0.10534887882812592,0.08823402405246777,"{""noGesture"":0.4444444444444444,""fist"":0.56,""waveIn"":0.6,""waveOut"":0.36363636363636365,""open"":0.6206896551724138,""pinch"":0.36}",F3_Ring,0.02763267629258448,0.13902208590506615
epn612,final,20,cross_user,leave_out_F2b_CSP,F0+F3_Ring+F6_IMU,0,101,0.5368666947406676,0.5333333333333333,1.2366518008476508,0.09621966243010158,0.09401795924848427,"{""noGesture"":0.5217391304347826,""fist"":0.6666666666666666,""waveIn"":0.5,""waveOut"":0.4864864864864865,""open"":0.7058823529411765,""pinch"":0.3404255319148936}",F2b_CSP,0.07303762715771517,0.2281793486826864
epn612,final,20,cross_user,leave_out_F6_IMU,F0+F3_Ring+F2b_CSP,0,100,0.3845014532643313,0.37333333333333335,1.7169024133593989,0.12604579955229014,0.21991688127121625,"{""noGesture"":0.3684210526315789,""fist"":0.5106382978723404,""waveIn"":0.5365853658536586,""waveOut"":0.2857142857142857,""open"":0.3389830508474576,""pinch"":0.26666666666666666}",F6_IMU,-0.07932761431862112,-0.25207126382906164
epn612,final,21,cross_user,full,F0+F3_Ring+F2b_CSP+F6_IMU,0,113,0.4542456891946081,0.4866666666666667,1.5410358789265017,0.11460181906595333,0.18703613547029352,"{""noGesture"":0.4918032786885246,""fist"":0.07407407407407407,""waveIn"":0.45714285714285713,""waveOut"":0.5142857142857142,""open"":0.6229508196721312,""pinch"":0.5652173913043478}",NONE,0.0,0.0
epn612,final,21,cross_user,leave_out_F0,F3_Ring+F2b_CSP+F6_IMU,0,65,0.36793700883813085,0.3933333333333333,1.5802179969776762,0.12538211963936688,0.11536304545091752,"{""noGesture"":0.5217391304347826,""fist"":0.05714285714285714,""waveIn"":0.5,""waveOut"":0.3225806451612903,""open"":0.34782608695652173,""pinch"":0.4583333333333333}",F0,-0.08630868035647726,-0.03918211805117444
epn612,final,21,cross_user,leave_out_F3_Ring,F0+F2b_CSP+F6_IMU,0,73,0.4746571966818205,0.5133333333333333,1.4109595524236218,0.10757307935797676,0.12224941089959909,"{""noGesture"":0.5813953488372093,""fist"":0.14814814814814814,""waveIn"":0.4727272727272727,""waveOut"":0.47058823529411764,""open"":0.6296296296296297,""pinch"":0.5454545454545454}",F3_Ring,0.020411507487212377,0.13007632650287992
epn612,final,21,cross_user,leave_out_F2b_CSP,F0+F3_Ring+F6_IMU,0,101,0.44415938999272336,0.4666666666666667,1.6412929606289406,0.11923389973310397,0.16988091818244822,"{""noGesture"":0.47619047619047616,""fist"":0.14814814814814814,""waveIn"":0.4307692307692308,""waveOut"":0.48484848484848486,""open"":0.5,""pinch"":0.625}",F2b_CSP,-0.010086299201884752,-0.10025708170243885
epn612,final,21,cross_user,leave_out_F6_IMU,F0+F3_Ring+F2b_CSP,0,100,0.43237112769027664,0.4533333333333333,1.476547841692978,0.11339859571933099,0.14420334303986387,"{""noGesture"":0.36666666666666664,""fist"":0.07142857142857142,""waveIn"":0.4727272727272727,""waveOut"":0.723404255319149,""open"":0.56,""pinch"":0.4}",F6_IMU,-0.02187456150433148,0.0644880372335237
