dataset,phase,subject,condition,model,feature_family,calibration_budget,feature_dimension,macro_f1,accuracy,log_loss,brier,ece,per_class_f1_json
epn612,final,ALL,cross_user,baseline,F0,0,48,0.4406792231650194,0.4444444444444444,1.4555999902536987,0.11587560195210936,0.12694272778160426,"{""noGesture"":0.47346938775510206,""fist"":0.3783783783783784,""waveIn"":0.4715447154471545,""waveOut"":0.40789473684210525,""open"":0.515625,""pinch"":0.3971631205673759}"
epn612,final,19,cross_user,baseline,F0,0,48,0.44509428715036187,0.4533333333333333,1.4880692224467889,0.11784478309655023,0.17626581182172912,"{""noGesture"":0.4672897196261682,""fist"":0.3333333333333333,""waveIn"":0.5333333333333333,""waveOut"":0.4864864864864865,""open"":0.4864864864864865,""pinch"":0.36363636363636365}"
epn612,final,20,cross_user,baseline,F0,0,48,0.43965459254027506,0.4266666666666667,1.40459351141728,0.11283505193006382,0.17495439077208638,"{""noGesture"":0.38095238095238093,""fist"":0.5283018867924528,""waveIn"":0.48484848484848486,""waveOut"":0.2857142857142857,""open"":0.5490196078431373,""pinch"":0.4090909090909091}"
epn612,final,21,cross_user,baseline,F0,0,48,0.4262886973723617,0.4533333333333333,1.4741372368970274,0.11694697082971407,0.13247491225231775,"{""noGesture"":0.5208333333333334,""fist"":0.14285714285714285,""waveIn"":0.4,""waveOut"":0.5789473684210527,""open"":0.5,""pinch"":0.41509433962264153}"
epn612,final,ALL,cross_user,full,F0+F3_Ring+F2b_CSP+F6_IMU,0,113,0.4458238691567782,0.45111111111111113,1.5391117906649863,0.11596787843973247,0.1620389387539004,"{""noGesture"":0.5108695652173914,""fist"":0.3853211009174312,""waveIn"":0.46060606060606063,""waveOut"":0.35443037974683544,""open"":0.5394736842105263,""pinch"":0.42424242424242425}"
epn612,final,19,cross_user,full,F0+F3_Ring+F2b_CSP+F6_IMU,0,113,0.39648982704383046,0.41333333333333333,1.6114683435381205,0.12246897896088038,0.18170938902088288,"{""noGesture"":0.5365853658536586,""fist"":0.35294117647058826,""waveIn"":0.4074074074074074,""waveOut"":0.28,""open"":0.42105263157894735,""pinch"":0.38095238095238093}"
epn612,final,20,cross_user,full,F0+F3_Ring+F2b_CSP+F6_IMU,0,113,0.46382906758295245,0.4533333333333333,1.4648311495303372,0.1108328372923637,0.17338258101586596,"{""noGesture"":0.4878048780487805,""fist"":0.5833333333333334,""waveIn"":0.5365853658536586,""waveOut"":0.3287671232876712,""open"":0.5283018867924528,""pinch"":0.3181818181818182}"
epn612,final,21,cross_user,full,F0+F3_Ring+F2b_CSP+F6_IMU,0,113,0.4542456891946081,0.4866666666666667,1.5410358789265017,0.11460181906595333,0.18703613547029352,"{""noGesture"":0.4918032786885246,""fist"":0.07407407407407407,""waveIn"":0.45714285714285713,""waveOut"":0.5142857142857142,""open"":0.6229508196721312,""pinch"":0.5652173913043478}"
epn612,final,ALL,cross_user,single_F3_Ring,F0+F3_Ring,0,88,0.43860753737612007,0.44,1.5567753529038764,0.11930558447281779,0.12348117636015368,"{""noGesture"":0.41346153846153844,""fist"":0.39215686274509803,""waveIn"":0.46835443037974683,""waveOut"":0.4810126582278481,""open"":0.45112781954887216,""pinch"":0.425531914893617}"
epn612,final,19,cross_user,single_F3_Ring,F0+F3_Ring,0,88,0.4342185936347635,0.44,1.6059092661973602,0.12353240820974407,0.16409865605051108,"{""noGesture"":0.4444444444444444,""fist"":0.3870967741935484,""waveIn"":0.48148148148148145,""waveOut"":0.4,""open"":0.47368421052631576,""pinch"":0.4186046511627907}"
