family,factor,run_id,condition,baseline_macro_f1,candidate_macro_f1,delta_macro_f1,delta_logloss,delta_brier
F1_X1H,force,feature_bank_force_audited_validation_20260915,ALL,0.5477535829874961,0.5902792452727622,0.04252566228526611,-0.06723388440586997,0.00666737379184805
F1_X1H,force,feature_bank_force_audited_validation_20260915,20P,0.23136080254554128,0.2592790675822105,0.027918265036669193,-0.18821550641837792,-0.0017519070884682297
F1_X1H,force,feature_bank_force_audited_validation_20260915,30P,0.5127778846208598,0.5465316838565962,0.033753799235736404,-0.020068724805127447,0.0039821796635690215
F1_X1H,force,feature_bank_force_audited_validation_20260915,40P,0.602638481889912,0.640545559265737,0.037907077375824993,0.011403836579745974,0.00478161679766094
F1_X1H,force,feature_bank_force_audited_validation_20260915,50P,0.6152300298781973,0.6898677799394111,0.07463775006121376,0.015523299517539835,0.01168180294991443
F1_X1H,force,feature_bank_force_audited_validation_20260915,60P,0.6420279129046133,0.6873668867698609,0.045338973865247656,0.02867496786926127,0.012616080621153714
F1_X1H,force,feature_bank_force_audited_validation_20260915,70P,0.6774648957832045,0.715299860651066,0.03783496486786153,-0.012803347997256243,0.009823011357089836
F1_X1H,force,feature_bank_force_audited_validation_20260915,80P,0.640795220667563,0.6793003713848356,0.03850515071727256,-0.08028652540895553,0.008113630041368877
F1_X1H,force,feature_bank_force_audited_validation_20260915,Hard,0.5521747810843225,0.56127729653537,0.009102515451047455,-0.15336576783737454,0.009231128133617067
F1_X1H,force,feature_bank_force_audited_validation_20260915,Light,0.4222907429935671,0.4591127428875267,0.03682199989395957,-0.16537931364218883,-0.0006406888977973368
F1_X1H,force,feature_bank_force_audited_validation_20260915,MVC,0.4378894770504586,0.36495943867866903,-0.07293003837178957,-0.2996038194129387,0.0009612735594548283
F1_X1H,force,feature_bank_force_audited_validation_20260915,Medium,0.5017347699032976,0.5681992650008452,0.0664644950975476,0.008363205587567757,0.01168993445656867
