dataset,phase,subject,session/domain,condition,shots_per_class,evaluation_trials,feature_bank,method,macro_f1,log_loss
song_real8_one_person_one_day,validation,Song,S03,completed_valid_cued_stable_formal,0,140,F0,source_only_zero_shot,0.935935362695926,0.3108983701408517
song_real8_one_person_one_day,validation,Song,S03,completed_valid_cued_stable_formal,0,140,F0+F2c_SPD,source_only_zero_shot,0.9713817713817714,0.1865997186648965
song_real8_one_person_one_day,final,Song,S04,completed_valid_cued_stable_formal,0,144,F0,source_only_zero_shot,0.9068393441879964,0.4271641995302901
song_real8_one_person_one_day,final,Song,S04,completed_valid_cued_stable_formal,0,144,F0+F2c_SPD,source_only_zero_shot,0.9507791284107074,0.2375934495342445
song_real8_one_person_one_day,validation,Song,S03,completed_valid_cued_stable_formal,0,140,F0+F7_SPD_personal_anchor,source_F0_plus_calibration_only_SPD_anchor,0.935935362695926,0.3108983605404138
song_real8_one_person_one_day,validation,Song,S03,completed_valid_cued_stable_formal,1,140,F0+F7_SPD_personal_anchor,source_F0_plus_calibration_only_SPD_anchor,0.9502194756376094,0.8250992524281523
song_real8_one_person_one_day,validation,Song,S03,completed_valid_cued_stable_formal,2,140,F0+F7_SPD_personal_anchor,source_F0_plus_calibration_only_SPD_anchor,0.9430690410624812,0.4441394429041641
song_real8_one_person_one_day,final,Song,S04,completed_valid_cued_stable_formal,0,144,F0+F7_SPD_personal_anchor,source_F0_plus_calibration_only_SPD_anchor,0.9068393441879964,0.4271641965595015
song_real8_one_person_one_day,final,Song,S04,completed_valid_cued_stable_formal,1,144,F0+F7_SPD_personal_anchor,source_F0_plus_calibration_only_SPD_anchor,0.9224835919356467,0.8646717518040817
song_real8_one_person_one_day,final,Song,S04,completed_valid_cued_stable_formal,2,144,F0+F7_SPD_personal_anchor,source_F0_plus_calibration_only_SPD_anchor,0.9210377294587822,0.5357488638207376
